year,make,model,body_styles,identifier
1992,Acura,Integra,"[""Sedan"", ""Hatchback""]",1741B4FD-15D6-D46C-65B9-A573EA466EA8
1992,Acura,Legend,"[""Sedan"", ""Coupe""]",D9A0B4D3-1397-E4C0-167B-AC367B60EFB0
1992,Acura,NSX,"[""Coupe""]",08B8A844-F17B-04BB-8AFE-F6D3A35DD175
1992,Acura,Vigor,"[""Sedan""]",B7CF8732-EAFF-E97C-801B-A6D96F04647F
1992,Alfa Romeo,164,"[""Sedan""]",D99FD6F2-2B95-20D3-92A5-8A038C1C4A57
1992,Alfa Romeo,Spider,"[""Convertible""]",7003FFE5-5FD0-103C-5BD0-0EB1893A4C4D
1992,Audi,100,"[""Sedan"", ""Wagon""]",D805167B-C702-AE58-FF55-827E57F2ED73
1992,Audi,80,"[""Sedan""]",22D79535-D451-1FA7-A736-B244939ECF33
1992,Audi,Quattro,"[""Sedan""]",6E674162-ECE8-655E-0DF2-BED3B4F5A28B
1992,Audi,S4,"[""Sedan""]",9A219AE4-6176-94D3-7409-49EBFB28FA71
1992,BMW,3 Series,"[""Coupe"", ""Convertible"", ""Sedan""]",3ED3CAD5-C90C-9B7E-D98F-2D64D875A829
1992,BMW,5 Series,"[""Sedan"", ""Wagon""]",BE22725F-D975-D598-494C-15E4CDA3BB17
1992,BMW,7 Series,"[""Sedan""]",36936002-94A3-6D20-40B7-335FE290AE14
1992,BMW,8 Series,"[""Coupe""]",38993CFF-6DB0-EB48-4BE4-D3D60074F3B8
1992,BMW,M5,"[""Sedan""]",F3A91F3A-620B-A451-5928-48F746B79E53
1992,Buick,Century,"[""Coupe"", ""Sedan"", ""Wagon""]",0014F458-E278-A440-A298-2CF05BA9A200
1992,Buick,LeSabre,"[""Sedan""]",B3A1A8B3-8668-4C7D-EE78-7350F0E85356
1992,Buick,Park Avenue,"[""Sedan""]",8D1AC453-4F41-91DD-4FE8-DFDDC4790E51
1992,Buick,Regal,"[""Coupe"", ""Sedan""]",B3AE38FE-E9A3-E4A9-14FD-BCDA6A9659D2
1992,Buick,Riviera,"[""Coupe""]",987F0573-1A49-2A13-19AD-E2C19BFC21A4
1992,Buick,Roadmaster,"[""Sedan"", ""Wagon""]",B0460362-C2AE-9A50-816F-F62D2FA85717
1992,Buick,Skylark,"[""Sedan"", ""Coupe""]",5A3D517D-5D64-43D9-73D8-2B7923ED8809
1992,Cadillac,Allante,"[""Convertible""]",DF1CE90B-966E-56B8-679A-34C7586E4190
1992,Cadillac,Brougham,"[""Sedan""]",B4F77A37-3E97-23CE-E64A-162F659981E7
1992,Cadillac,DeVille,"[""Sedan"", ""Coupe""]",4F2CCCD9-AD69-A3B5-ECE0-5C42431E3DC3
1992,Cadillac,Eldorado,"[""Coupe""]",67E8BC00-F278-A776-AFCB-D8BF20AAD119
1992,Cadillac,Fleetwood,"[""Sedan"", ""Coupe""]",8D17F1E4-C505-6277-038E-167F7ADBAA5D
1992,Cadillac,Seville,"[""Sedan""]",DC0CE954-FAF0-391C-CE24-5962236C1EF6
1992,Chevrolet,1500 Extended Cab,"[""Pickup""]",9F8E33DC-34F9-ACD9-A1CE-A77DE0FD3843
1992,Chevrolet,1500 Regular Cab,"[""Pickup""]",ED578B78-94A6-A26F-CEC7-18D71923313D
1992,Chevrolet,2500 Extended Cab,"[""Pickup""]",4325699A-4C5D-A28B-793B-3E55237E2573
1992,Chevrolet,2500 Regular Cab,"[""Pickup""]",B5CE39D3-C777-D46B-B36D-0972B06859DF
1992,Chevrolet,3500 Crew Cab,"[""Pickup""]",167ED5DE-D506-E113-2FC6-2137062D7A74
1992,Chevrolet,3500 Extended Cab,"[""Pickup""]",3A22D076-825B-9579-BC6F-1EBC91432518
1992,Chevrolet,3500 Regular Cab,"[""Pickup""]",B6BDF138-6CAA-733A-38C2-72E1B0863774
1992,Chevrolet,APV Cargo,"[""Van/Minivan""]",B63F3D32-98CF-52C6-2FE8-882CF251D19B
1992,Chevrolet,Astro Cargo,"[""Van/Minivan""]",F68814FD-CC48-AFC2-D63A-2C4E4CE10280
1992,Chevrolet,Astro Passenger,"[""Van/Minivan""]",F4A2932A-7436-2B3B-4CAA-6C6763ED2DED
1992,Chevrolet,Beretta,"[""Coupe""]",FBE948EA-61D2-4B68-5FAD-F488821AAEB5
1992,Chevrolet,Blazer,"[""SUV""]",B550D8CD-3A76-D616-55BD-B2F225D548DF
1992,Chevrolet,Camaro,"[""Hatchback"", ""Convertible""]",04347AF3-81CB-1FCC-88F0-BBAA80280E33
1992,Chevrolet,Caprice,"[""Sedan"", ""Wagon""]",ADA93579-E2AE-32B9-6C9D-94BF709EF911
1992,Chevrolet,Cavalier,"[""Coupe"", ""Sedan"", ""Wagon"", ""Convertible""]",2827351D-893D-F432-C92C-2373BA585D76
1992,Chevrolet,Corsica,"[""Sedan""]",ECCC35EB-D90F-3E40-A4A3-613515C0B4A4
1992,Chevrolet,Corvette,"[""Hatchback"", ""Convertible""]",239357A2-5315-74B6-B234-F2EEA7ABCD3A
1992,Chevrolet,G-Series G10,"[""Van/Minivan""]",1D6FAD74-54D4-E0A2-84C7-56F4006CFCF1
1992,Chevrolet,G-Series G20,"[""Van/Minivan""]",C523A98D-A6D7-5070-5E05-01C807C0F482
1992,Chevrolet,G-Series G30,"[""Van/Minivan""]",D34D26C8-A48E-EE7E-693B-2E84459FD81A
